"Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0."
141,31,1608,13594,"NEW MODEL PUBLIC
SCHOOL",KAKKAR,HAMIRPUR,177028,9th-10th (C ),,2025-26,"98175-86919, 98173-68406,
7807813133",nmpskakkar@gmail.com
142,32,4737,13595,"LITTLE ANGELS PUBLIC
SCHOOL",TAUNI DEVI,HAMIRPUR,177023,9th-10th (C ),,2025-26,"94183-81031, 94590-96231,
01972-279279",ranbirchauhan77031@yahoo.com
143,33,4738,13597,"BHARTIYA VIDYA MANDIR
PUBLIC SCHOOL",PATLANDER,HAMIRPUR,176111,9th-10th,,2025-26,94184-86036,bvmschool.2012@gmail.com
144,34,4739,13598,"HIM HERITAGE PUBLIC
SCHOOL",SALOUNI,HAMIRPUR,174311,9th-10th,,2025-26,"94185-75480, 94189-46180,
82787-65429","himheritageschoolSalouni@gmail.co
m"
145,35,4741,13600,AMAR PUBLIC SCHOOL,"SAMJAAL AT
KASHMIR",HAMIRPUR,177006,9th-10th (C ),,2025-26,"98829-81913,94186-71006","headmasteramarpublicschool@gma
il.com"
146,36,4937,13601,"OXFORD INTERNATIONAL
SCHOOL",HAMIRPUR,HAMIRPUR,177001,9th-10th (C ),,2025-26,"01972-224490, 94181-38974","oxfordinternationalschoolhmr@gma
il.com"
147,37,4939,13602,"PARMARTH INTERNATIONAL PUBLIC
SCHOOL","KRISHNA NAGAR, HAMIRPUR",HAMIRPUR,177001,9th-10th,,2025-26,"01972-222086,94180-46600",parmarth.krishnanagarhmr@gmail.c om
148,38,4940,13603,SHIVALIK PUBLIC SCHOOL,"JHANIKKAR
(BAMSAN",HAMIRPUR,177023,9th-10th,,2025-26,"94180-46178,01972-278035",spsjhanikkar@gmail.com
149,39,5092,13605,SARSWATI PUBLIC SCHOOL,LAMBLOO,HAMIRPUR,177029,9th-10th,,2025-26,94188-50459,"sarswatipublicschool131@gmail.co
m"
150,40,5093,13606,"ST.AURBINDO GHOSE
PUBLIC SCHOOL",TAL,HAMIRPUR,177401,9th-10th,,2025-26,"98162-64173,70182-53751",aghose.education@gmail.com
151,41,5094,13607,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",DHANGOTA,HAMIRPUR,176040,9th-10th (c ),,2025-26,"94182-68374, 70182973266",svm.dhangota@gmail.com
152,42,5159,13608,OMNI PUBLIC HIGH SCHOOL,JHARERI,HAMIRPUR,177040,9th-10th,,2025-26,9418345175,omnipublicschool@gmail.com
153,43,5217,13609,"SATYAM VIDYA MANDIR
PUBLIC SCHOOL",JHAllAN,HAMIRPUR,177301,9th-10th,,2025-26,"9418273345, 7807061893",svmpublicschool@gmail.com
154,44,5219,13611,ARIYAN PUBLIC SCHOOL,DANGRI,HAMIRPUR,177048,9th-10th,,2025-26,"94181-90884, 96251-99412",dhimansunil36@gmail.com
155,45,5258,13612,RED STAR PUBLIC SCHOOL,CHARIAN DI DHAR,HAMIRPUR,177028,9th-10th  (C ),,2025-26,"98175-09216, 70187-45216",headmasterrsps09216@gmail.com
156,46,5293,13613,RIGVEDA PUBLIC SCHOOL,LOHARARA,HAMIRPUR,177001,9th-10th  (C ),,2025-26,98170-05930 70180-59300,rigvedapublicschool@gmail.com
157,47,5294,13615,"S.V.N. INTERNATIONAL
PUBLIC SCHOOL",TARKWARI,HAMIRPUR,176045,9th-10th (c ),,2025-26,98163-32762,svninternational531953@gmail.com
158,48,1575,14004,BLUE STAR SR.SEC.SCHOOL,HAMIRPUR,HAMIRPUR,177001,9th-+2(Arts/Sci/Comm)(C ),,2025-26,"94180-34490, 01972-224490,
224050",blue.star.school@gmail.com
159,49,1479,14006,"PUBLIC MODEL SR.SEC.
SCHOOL",BAMBLOH(UHAL),HAMIRPUR,177022,9th-+2(Sc.) (C ),,2025-26,"94180-77042,01972-277042",pmsuhal1986@gmail.com
160,50,1576,14007,SILVER BELL SR.SEC.SCHOOL,HAMIRPUR,HAMIRPUR,177001,9th-+2(Sci) (C ),,2025-26,"70185-06909, 01972-224560",silverbells1983@gmail.com
161,51,1491,14009,"SHANTI NIKETAN
SR.SEC.SCHOOL",BARSAR(MEHRE),HAMIRPUR,174305,9th-+2(Arts),,2025-26,"98161-26358,94181-
26358,01972-288997",.
162,52,1611,14010,SAI UNIVERSAL PUBLIC SR.SEC.SCHOOL,KALANJHARI DEVI AT KHAROH,HAMIRPUR,177027,9th-+2(Arts) (C ),,2025-26,"76500-02084,94180-
75297,94596-55957,94188-
50996",saiuniversalhmr@gmail.com
163,53,1506,14012,DIVYA ADARSH VIDYA PUB. SR.SEC. SCHOOL,BHOTA,HAMIRPUR,176041,9th-+2(Sc.),,2025-26,"78760-06083,98160-
04283,01972-256383, 88943-
21906",divyaadarshvidya@gmail.com
164,54,1592,14013,BHAGVATI PUBLIC SCHOOL,JALARI,HAMIRPUR,177042,9th-+2(Arts/Sci/Comm),,2025-26,"01972-230590,94181-15093",bpsjalari@gmail.com
165,55,1577,14014,ADARSH PUBLIC SCHOOL,HAMIRPUR,HAMIRPUR,177001,9th-+2(Sc.) (C ),,2025-26,"01972-222691, 97361-40535,
96361-40535",aps1970hamirpur@gmail.com
166,56,1507,14017,"LAXMI MEMORIAL PUBLIC
SCHOOL",BHOTI,HAMIRPUR,176045,9th-+2(Sc.),,2025-26,"01972-265980,94180-96481",laxmi.memorial2005@gmail.com
167,57,1559,14018,"NAV DEEP PUBLIC
SR.SEC.SCHOOL","GALORE AT
BUDWIN",HAMIRPUR,177026,9th-+2(Sci/Comm),,2025-26,"01972-242101, 94180-
42036,98050-18015",ndps.school@gmail.com
168,58,1578,14020,AIM PUBLIC SR.SEC.SCHOOL,HAMIRPUR,HAMIRPUR,177001,9th-+2(Sc.),,2025-26,"94180-25163,01972-223763",aimpublicschool636@gmail.com
169,59,1709,14023,"SHISHU NIKETAN NURSERY
SCHOOL",SUJANPUR  TIHRA,HAMIRPUR,176110,9th-+2 (Arts/Sci.),,2025-26,"94184-74191,01972-273091,
98161-49761",shishu1984@gmail.com
170,60,1715,14026,"EAST POINT PUBLIC SR.SEC.
SCHOOL",SULGWAN,HAMIRPUR,176048,9th-+2(Arts/Sci/Comm) (C ),,2025-26,"98160-03747, 94181-83256",v.sanjay74@yahoo.co.in
171,61,1716,14027,"NAV VIBHOR PUBLIC
SR.SEC.SCHOOL",SULGWAN,HAMIRPUR,176044,9th-+2(Sci.),,2025-26,"94184-70680, 01972-263021",navvibhoreschool@gmail.com
172,62,1464,14028,"SANCHETNA PUBLIC
SR.SEC.SCHOOL",AWAHDEVI,HAMIRPUR,177601,9th-+2(Sci.),,2025-26,"01972-275810,94180-58386",principalspsawd@gmail.com
173,63,1498,14032,"SAI VISION PUBLIC SR.SEC.
SCHOOL",BHARERI,HAMIRPUR,177024,9th-+2(Arts/Sci/Comm)  (C ),,2025-26,"94182-58219,94180-
93822,98829-93822",chaudharyvirender72@gmail.com
174,64,1514,14034,"NAV BHARAT PUBLIC
SCHOOL",BIJHRI(KOTLA),HAMIRPUR,176040,9th-12th(Sci) (C ),NOC FOR CBSE,2025-26,"94180-40779,01972-282097,
86288-82097",nbpskotla@gmail.com
175,65,1488,14035,"LILY LITTLE FLOWER SR.SEC.
SCHOOL",BARI (RANGAS),HAMIRPUR,177048,9th-+2(Sci/Comm/Arts) (c ),,2025-26,"01972-241407, 98160-44020",llfssschool@gmail.com
176,66,1504,14037,"INDIRA MEMO.MODEL
SR.SEC. SCHOOL",BHOTA,HAMIRPUR,176041,9th-+2(Sci.),,2025-26,"94180-85436,01972-255536",imsbhota@rediffmail.com
177,67,1655,14045,"BRIGHT SUN
SR.SEC.SCHOOL",MAHRE,HAMIRPUR,174305,9th-+2(Sci.),,2025-26,"98176-64300,01972-289123,
70182-83394",brightsunsssmehre@gmail.com
178,68,1580,14049,"K.KEY PUBLIC
SR.SEC.SCHOOL",HAMIRPUR,HAMIRPUR,177001,9th-+2(Sci.),,2025-26,94180-57865,kkeyinstitutes@gmail.com
179,69,1684,14050,"SHEETAL MODEL SR.SEC.
SCHOOL",PATTA (JHARLOG),HAMIRPUR,176041,9th-+2(Arts/Sci) (C ),,2025-26,"94185-67058,98179-49558",sheetalm558@gmail.com
180,70,1602,14054,ARYAN PUBLIC SCHOOL,JHANDI,HAMIRPUR,176041,9th-+2(Sci.) (c ),,2025-26,"98164-86506,94182-75752",shekharchander159@gmail.com
181,71,1712,14055,"HIMACHAL PUBLIC SR.SEC.
SCHOOL",SUJANPUR TIRA,HAMIRPUR,176110,9th-+2(Sci.) (C ),,2025-26,"98160-11448, 01972-272167,
94184-71263",himachalpublicschool@gmail.com
182,72,1573,14056,HIM ACADEMY PUBLIC SCHOOL,HIRA NAGAR,HAMIRPUR,177001,9th-+2(Sci/Comm),,2025-26,"94591-67567,94180-
23428,01972-222829",www.hapshn@himacademy.com
183,73,1649,14057,"MOTHER'S PRIDE PUBLIC
SCHOOL",MALOTI ( BARA),HAMIRPUR,177044,9th-+2(Arts/Sci) (C ),,2025-26,"98056-43851, 238600",motherspride13555@gmail.com
184,74,1612,14059,UDISHA PUBLIC SCHOOL,KALOH,HAMIRPUR,177022,9th-10th,,2025-26,"94180-69770, 98163-43849",swastikudisha@rediffmail.com
185,75,1502,14060,"NEELAM PUBLIC SR.SEC.
SCHOOL",BIHRU(BIJHARI),HAMIRPUR,176040,9th-+2(Sci),,2025-26,"94186-34585,01972-283080",npsssbihru@yahoo.com
186,76,1563,14061,GEETANJALI PUBLIC SCHOOL,"GHALOL
(DHANETA)",HAMIRPUR,177041,9th-+2(Sci.),,2025-26,"94180-96554,234461",gpsdnt9@gmail.com
187,77,1656,14062,"LITTLE ANGEL PUBLIC
SCHOOL",MEHRE,HAMIRPUR,174305,9th-+2 (Sc./Com),,2025-26,"94598-03951, 98166-92375",
188,78,1544,14063,"TWINKLE STAR PUBLIC
SR.SEC. SCHOOL",DHANED,HAMIRPUR,174505,9th-12th(Arts/sci),,2025-26,"01972-229800,94181-91900",psverma6900@gmail.com
189,79,1726,14064,SAI PUBLIC SR.SEC.SCHOOL,UKHLI,HAMIRPUR,176042,9th-+2(Sci) (C ),,2025-26,"94598-16512, 94188-46435",principalspsukhli@gmail.com
190,80,1572,14065,"THE MAGNET PUBLIC
SCHOOL",HAMIRPUR,HAMIRPUR,177001,9th-+2(Sc.) (C ),,2025-26,"94180-48300,94184-17448,
97368-29200,224040","themagnethamirpur2014@gmail.co
m"
191,81,1463,14066,ALMIGHTY PUBLIC SCHOOL,ANU KHURD,HAMIRPUR,177001,"10th-+2 (Arts/Comm/Sci) (c
)",NOC FOR CBSE,2025-26,"94180-96496, 94594-96496",aps.hamirpur@gmail.com
192,82,1532,14067,"A. N. M PUBLIC SR.SEC.
SCHOOL","CHOWKI
BARAGRAM",HAMIRPUR,176049,9th-+2(Sci.) (c ),,2025-26,"98174-77370,01972-
284227,98167-59860",anmpubhighschool860@gmail.com
193,83,1462,14068,"INDUS VALLEY PUBLIC
SR.SEC. SCHOOL",ANU KHURD,HAMIRPUR,177020,9th-12th(Sci.),,2025-26,"01972-225670, 94186-34285,
8219112613",ivshamirpur@gmail.com
194,84,1657,14069,"SHIVA PUBLIC SR.SEC.
SCHOOL",MOHALWIN,HAMIRPUR,174309,9th-+2(Arts/Sci.) (c ),,2025-26,"98164-87980, 98176-32350",shivapublic12@gmail.com
195,85,1497,14072,"SHANTI NIKETAN PUBLIC
SCHOOL",BHARERI,HAMIRPUR,177024,9th-+2(Arts/Sci),,2025-26,"94180-06181, 80919-32222",snpsbhareri@gmail.com
196,86,4742,14073,HAMIRPUR SR.SEC.  SCHOOL,HAMIRPUR,HAMIRPUR,177001,11th-12th (Sci),,2025-26,"94180-19210,225182",hsshmr2015@gmail.com
197,87,4938,14074,"SUPER MAGNET
SR.SEC.SCHOOL PRATAP NAGAR",HAMIRPUR,HAMIRPUR,177001,9th-12th(Arts/ Sci),,2025-26,"98824-37038, 94184-76409,
7018506909",supermagnetschool@gmail.com
198,88,1634,14076,"HIM GURUKUL PUBLIC
SCHOOL",LADRAUR,HAMIRPUR,176043,9th-12th(Sci),,2025-26,"94181-00373,01972-267069,
82190-52373",himgurukul@gmail.com
199,89,1615,14078,"BAL GURUKUL PUBLIC
SCHOOL",KANGOO,HAMIRPUR,177040,9th-+2(Sci),,2025-26,"94188-71172,01972-231208,
94185-37434",balgurukul.hmr@gmail.com
200,90,4987,14079,CAMBRIDGE INTERNATIONAL SCHOOL,NERI,HAMIRPUR,177001,9th-+2(Arts/Sci/Comm) (C ),,2025-26,"98162-75118,82196-80520","cambridgeinternationalneri@gm
ail.com"
201,91,1540,14082,D.A.V. PUBLIC  SCHOOL,"DARKOTI(
TAUNIDEVI)",HAMIRPUR,177023,9th-+2(Sci),,2025-26,"85806-07850, 98177-63653",parkash_dav@yahoo.co.in
202,92,1667,14083,"LILY LITTLE FLOWER
SCHOOL",NALTI AT HAR,HAMIRPUR,177001,9th-+2(Sci) (C ),,2025-26,"94182-01504, 94180-87591",lillylittleflowerschool@gmail.com
203,93,1489,14084,"NEW BRIGHT SUN SR.SEC.
SCHOOL",BARSAR MEHRE,HAMIRPUR,174305,9th-+2(Sci) (C ),,2025-26,"01972-289337, 92187-36802,
82194-42097","newbrightsunmodelschoolmehre@g
mail.com"
204,94,5472,14086,DREAMS PUBLIC SCHOOL,AWAHDEVI,HAMIRPUR,177021,9th-12th(Sci/Comm),,2025-26,70187-01744,awahdevidps@gmail.com
205,95,1590,14087,"PUBLIC MODEL SENIOR
SECONDARY SCHOOL",JAKHU JANGAL,HAMIRPUR,176109,9th-12th(ARTS/COMM) (c ),,2025-26,85275-44203  9805015800,shubhamsharma843@gmail.com
206,96,5299,14088,"HIM MODERN PUBLIC
SCHOOL",MOHIN,HAMIRPUR,177001,9th-12th(ART),11th-12th(Sci),2025-26,94185-07414,"himmodernpublicschool@gmail.co
m"
207,97,1550,14089,"PARMAR MODEL PUBLIC
SCHOOL",DHAROG,HAMIRPUR,177029,9th--+2th(Sci) (c ),,2025-26,"01972-202204,094182-17399,
94590-41684",parmarschool@gmail.com
208,98,4740,14090,"SHISHU NIKETAN PUBLIC
SCHOOL",DASMAL,HAMIRPUR,176043,9th--+2th(Sci),,2025-26,98172-29192,shishuniketan1980@gmail.com
209,99,1588,14091,"JOLLY CONVENT PUBLIC
SCHOOL",JAHU,HAMIRPUR,176048,9th-12th(Sci)(c ),,2025-26,82193-56014,jcpsj2009@gmail.com
210,1,1924,16005,"MAHATMA GANDHI MEMO.PUBLIC HIGH
SCHOOL",DEVITAL (J/MUKHI),KANGRA,176031,9th-10th,,2025-26,"01970-222015, 94187-95888,
82193-01498",mgmphighschool123@gmail.com
211,2,1747,16006,"MODEL PUBLIC HIGH
SCHOOL",BAAG DAULATPUR,KANGRA,176038,9th-10th,,2025-26,"98052-27702, 01892-268210,
94181-05495, 98821-37182",mphs.blockspot@rediffmail.com
212,3,2033,16007,"PUBLIC MODEL HIGH
SCHOOL",HARA FATEHPUR,KANGRA,176053,9th-10th,,2025-26,"88949-93901, 98164-53152",harapmhs@gmail.com
213,4,2455,16009,"SHYAM LAL SHAROTRI
MEMO.Z.A.V.PUBLIC H/ S",SULLAH,KANGRA,176085,9th-10th,,2025-26,"98164-25579,01894-220194",zavpublicschoolsullah@gmail.com
214,5,2304,16010,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",PAPROLA,KANGRA,176115,9th-10th,,2025-26,"01894-242273,94590-
61491,94592-03558",svmpaprola@gmail.com
215,6,2014,16012,"TARA BHAWANI PUBLIC
HIGH SCHOOL",GHURKARI,KANGRA,176001,9th-10th,,2025-26,70188-59050,taraschool4@gmail.com
216,7,1764,16013,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",BAIJNATH,KANGRA,176125,9th-10th,,2025-26,85809-29505,"svmschool.highschool87@gmail.co
m"
217,8,2171,16014,"KALESHWER MAHADEV
HIGH SCHOOL",KUHNA,KANGRA,177043,9th-10th,,2025-26,"98186-64597, 98052-64609",kmahadevhighschool@gmail.com
218,9,2116,16015,MAHARISHI VIDYA MANDIR PUBLIC HIGH SCHOOL,KANGRA,KANGRA,176001,9th-10th (c ),,2025-26,"88945-34868,076694-59660,",m.v.m.kangra@mahamail.com
219,10,2081,16016,"ADARSH BHARTIYA  PUBLIC
SCHOOL",JASSUR,KANGRA,177201,9th-10th,,2025-26,7018169282,abpsjassur@gmail.com
220,11,2446,16018,"ADARSH BHARTI PUBLIC
SCHOOL","SUGNARA
(N/SURIAN)",KANGRA,176027,9th-10th,,2025-26,"98164-61493, 01893-265134",abps1993@gmail.com
221,12,2017,16020,D.A.V.PUBLIC SCHOOL,GOHJU,KANGRA,176208,9th-10th,,2025-26,70188-37383,davpublicschoolgohju@gmail.com
222,13,1888,16021,"JAWAHAR MEMO.PUBLIC
SCHOOL",CHOBIN,KANGRA,176128,9th-10th,,2025-26,"98160-25095,98824-73676,
94590-76460",jmpschoolchobin@gmail.com
223,14,1862,16023,"NEW HOLY MISSION  HIGH
SCHOOL",CHACHIAN,KANGRA,176059,9th-10th (c ),,2025-26,"70184-51811, 01894-252060
,92187-42178","newholymissionschoolnagri98@gma
il.com"
224,15,2155,16025,A.V.M.HIGH SCHOOL,"KHUNDIAN
(LAHARU)",KANGRA,176030,9th-10th (C ),,2025-26,"01970-272325 ,94183-50409",avmkhundian@rediffmail.com
225,16,1923,16026,"SWAMI VIVEKA NAND HIGH
SCHOOL","DEV NAGAR
(KONA)",KANGRA,176093,9th-10th,,2025-26,98051-06754,"swamivivekananddevnagar@gmail.c
om"
226,17,2431,16030,"BHARTI PUBLIC HIGH
SCHOOL",SIDHBARI,KANGRA,176057,9th-10th,,2025-26,"01892-236198,70182-22795,
94185-91177",principalbpssidhbari@gmail.com
227,18,1964,16038,"SH.NAR SINGH SARSWATI
VIDYA MANDIR",FATEHPUR,KANGRA,176053,9th-10th,,2025-26,"01893-256109, 94187-55014 ,",rajpkfatehpur@gmail.com
228,19,2094,16039,HIM KIDS CONVENT SCHOOL,JAWALI,KANGRA,176023,9th-10th,,2025-26,981664-2700,Himkidsschool@gmail.com
229,20,2420,16041,"GYAN ARPAN PUBLIC
SCHOOL",SHAHPUR,KANGRA,176206,9th-10th (c ),,2025-26,"01892-237629, 98053-57885",gapsshahpur@gmail.com
230,21,1758,16048,"ASHWANI MEMO.PUBLIC
HIGH SCHOOL",BAGLI,KANGRA,176209,9th-10th (C ),,2025-26,"98057-04349, 01892-231795,
86268-22404","ashwanimemorialpubsch@gmail.co
m"
231,22,1800,16054,"RAVI UNIQUE MODEL HIGH
SCHOOL",BAROH,KANGRA,176054,9th-10th,,2025-26,"01892-259050, 85447-43214",rk9418562158@gmail.com
232,23,1836,16055,"ANGEL PUBLIC HIGH
SCHOOL",BHAWARNA,KANGRA,176083,9th-10th (c ),,2025-26,"98163-38969,94182-20374
,01894-248310",gcm.aps.bna@gmail.com
233,24,1765,16056,"AMBIKA PUBLIC HIGH
SCHOOL","MAHANKAL(BAIJN
ATH)",KANGRA,176125,9th-10th,,2025-26,"94189-62686,, 01894-265256",aps.mahakal@gmail.com
234,25,2402,16057,"VASISHAT BHARTI PUBLIC
HIGH SCHOOL","SANSARPUR
TERRACE",KANGRA,177501,9th-10th (c ),,2025-26,"90412-25088,94598-91051,
01970-256930, 256447",bhartivasishat@yahoo.com
235,26,2113,16058,"SHAKTI MEMO.PUBLIC HIGH
SCHOOL",KANDWARI,KANGRA,176061,9th-10th,,2025-26,"98057-63148,94185-93148
,94181-87610",smps1995@gmail.com
236,27,2311,16061,"GAYAN JYOTI PUBLIC HIGH
SCHOOL",PATHIAR,KANGRA,176045,9th-10th,,2025-26,"86288-03434,01892-
251336,94188-34317",gyanjyotischool@rediffmail.com
237,28,1833,16062,"ASHA DHAR PUBLIC HIGH
SCHOOL(BHAWANA)",BHUANA,KANGRA,176076,9th-10th (C ),,2025-26,96254-15037,ashadhar82@gmail.com
238,29,2117,16063,"NEW MODEL PUBLIC HIGH
SCHOOL",KANGRA,KANGRA,176001,9th-10th (c ),,2025-26,"01892-264453, 89881-31183","newmodelpublichighschool@gmail.
com"
239,30,1878,16064,"VIJAY SHEEL ADARSH
VIDYALYA",DODHAMB-CHARI,KANGRA,176217,9th-10th,,2025-26,"94186-87806, 01892-278001,
94181-36786, 98051-61187",vavdodhamb123@gmail.com
240,31,2516,16067,"LITTLE ANGEL'S  HIGH
SCHOOL",ZAMANABAD,KANGRA,176001,9th-10th,,2025-26,"98163-62744,94184-65357,
70183-43268",lahszamanabad225@gmail.com
241,32,1856,16069,ST.XAVIER PUBLIC SCHOOL,"BOHAN
(JAWALAMUKHI)",KANGRA,176031,9th-10th (C ),,2025-26,"94181-92181,01970-222027,
98165-25104",sunilabni.2015@gmail.com
242,33,1787,16077,"RISING FIELD PUBLIC HIGH
SCHOOL",BANOI,KANGRA,176209,9th-10th (C ),,2025-26,"94185-62625, 94181-61430",risingfieldbanoi@rediffmail.com
243,34,2334,16078,"CAMBRIDGE PUBLIC
SCHOOL",PURBA,KANGRA,176084,9th-10th,,2025-26,"98167-22480, 01894-280265",cpspurba2005@gmail.com
244,35,1830,16081,"SUN RISE PUBLIC HIGH
SCHOOL",BHATOLI PAKWAN,KANGRA,176053,9th-10th (C ),,2025-26,78761-58268,srpsbhatoli@gmail.com
245,36,2140,16083,"BHAGSU MODEL PUBLIC
SCHOOL",KHANIYARA,KANGRA,176218,9th-10th,,2025-26,"94594-53740, 98825-83901","bhagsumodelpublicschool95@gmail
.com"
246,37,2128,16085,S.D.PUBLIC HIGH SCHOOL,KATHLA,KANGRA,176091,9th-10th,,2025-26,94183-07171,pariveshmahajan@yahoo.co.in
247,38,2166,16086,KOTLA PUBLIC SCHOOL,KOTLA,KANGRA,176205,9th-10th,,2025-26,98168-32053,ajusharma.as@gmail.com
248,39,1987,16089,MINERWA HIGH SCHOOL,GARLI,KANGRA,177108,9th-10th (C ),,2025-26,"01970-245015,98160-54015",minervagarli@gmail.com
249,40,2249,16093,"PT.AMAR NATH S.D.PUBLIC
SCHOOL",NAGRI,KANGRA,176059,9th-10th (C ),,2025-26,"86298-51422 , 9736550220",sdpsnagri86@gmail.com
250,41,2188,16094,DAV PUBLIC HIGH SCHOOL,LAMBAGAON,KANGRA,176096,9th-10th,,2025-26,98162-59570,davlambagaon1994@gmail.com
251,42,2072,16109,"NEEL KAMAL PUBLIC HIGH
SCHOOL",JAMULA,KANGRA,176092,9th-10th,,2025-26,94183-25649,neelkamaljamula@gmail.com
252,43,2055,16111,"NAV RASHMI PUBLIC HIGH
SCHOOL",ICHHI,KANGRA,176209,9th-10th,,2025-26,"78072-69269,70188-07224,1892-
208152",anujkumar1209@gmail.com
253,44,1808,16121,RISHI VALLEY CONVENT PUBLIC SCHOOL,BASDI GARH,KANGRA,176093,9th-10th (C ),,2025-26,"94590-65733 ,98161-88290",schoolrishivalley123@gmail.com
254,45,2066,16127,MODERN PUBLIC SCHOOL,JAISINGHPUR,KANGRA,176095,9th-10th,,2025-26,70185-06909,shagundutt@gmail.com
255,46,2254,16129,"LITTLE FLOWER PUBLIC HIGH
SCHOOL","NAGROTA
BAGWAN",KANGRA,176047,9th-10th,,2025-26,"94187-52174 ,01892-252174","littleflowerpublichighschool@gmail.
com"
256,47,2468,16131,"BHARTI HIMALYAN PUBLIC
SCHOOL",TANG NARWANA,KANGRA,176052,9th-10th,,2025-26,"94182-54184,80912-71699,
821900452",bhpsTang.narwana@gmail.com
257,48,2203,16136,SHIVA PUBLIC HIGH SCHOOL,"LUBH AT
MAKRAHAN",KANGRA,176023,9th-10th (C ),,2025-26,"01893-264250,98160-07394",sphsmakrahan@gmail.com
258,49,1899,16138,"VIVEKANANDA PUBLIC HIGH
SCHOOL",DARANG,KANGRA,176060,9th-10th (c ),,2025-26,82195-42594,guleriajagdish123@gmail.com
259,50,2030,16140,NATIONAL PUBLIC HIGH SCHOOL,HALER(JAISINGHPU R),KANGRA,176091,9th-10th,11th-12th(Sci/Comm),2025-26,"94187-54326, 98053-91340","halernationalpublichighschool@g
mail.com"
260,51,1811,16141,"SARSWATI VIDYA NIKETAN
HIGH SCHOOL",BATWAR,KANGRA,177106,9th-10th,,2025-26,"94183-58254, 94181-84469",batwarsvnhs@gmail.com
261,52,1807,16142,"LORD KRISHNA HIGH
SCHOOL","BASANTPUR(JAWA
LI)",KANGRA,176023,9th-10th (C ),,2025-26,"94182-88300,98166-15655,
01893-262259",lordkrishna.hs@gmail.com
262,53,1931,16148,"SARSWATI PUBLIC HIGH
SCHOOL",DHAN(JAWALI),KANGRA,176023,9th-10th (C ),,2025-26,"01893- 264315, 98053-59509",sarswatischooldhan@gmail.com
263,54,2115,16149,"MANGAT RAM MEMO.PUBLIC SCHOOL
W.No-9",KANGRA,KANGRA,176001,9th-10th (c ),,2025-26,"94599-49150, 94183-26826",mrmmphighschool@gmail.com
264,55,2410,16152,"MAHARISHI DAYANAND
SARSWATI PUB.SCHOOL",SARNU (SHAHPUR),KANGRA,176206,9th-10th,,2025-26,"93187-07784, 98058-90446,
98053-87923",mdspublicschoolsarnu@gmail.com
265,56,2110,16153,"VISHAV JYOTI PUBLIC
SCHOOL KANDI ROAD",KANGRA,KANGRA,176038,9th-10th,,2025-26,"98168-73843, 98828-00760,,
98828-00760,70186-91946",panjakriar2000@yahoo.in
266,57,2445,16155,"S.D MEMO.PUBLIC SCHOOL
SUGHAL",BHARMAR,KANGRA,176021,9th-10th,,2025-26,98162-31265,sdmps@gmail.com
267,58,2000,16156,"SWAMI VIVEKA NAND
MODEL SCHOOL",GHAR BARIAL,KANGRA,176027,9th-10th,,2025-26,"98167-94037, 98160-08901","swamivivekanandbarial2016@gmail
.com"
268,59,2437,16157,"AMAR SHANTI MODEL
PUBLIC SCHOOL",SIHOTI(KHUNDIAN),KANGRA,176030,9th-10th (c ),,2025-26,"88948-28680, 01970-272176",amarshanti77@gmail.com
269,60,1969,16158,SHIVA PUBLIC HIGH SCHOOL,GAGGAL,KANGRA,176209,9th-10th,,2025-26,"82193-83718, 9817281897",dineshsharma026@gmail.com
270,61,2248,16160,"MANAV BHARTI PUBLIC
HIGH SCHOOL",NADHOLI,KANGRA,176225,9th-10th ),11th-12th(Sci),2025-26,98055-04976,parmarsureshwar@gmail.com
271,62,1948,16162,"THAKUR DUNIHAND MEMO
PUBLIC SCHOOL",DHEERA,KANGRA,176101,9th-10th (C ),,2025-26,"98575-07580,98575-26962",tdcmprd@gmail.com
272,63,1919,16163,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",DEOL,KANGRA,176125,9th-10th,,2025-26,"98057-53724,82629-28360,
85805-11710",deolsvm@gmail.com
273,64,2130,16165,"UNIQUE MODEL PUBLIC
SCHOOL",KATHOG,KANGRA,177101,9th-10th (c ),,2025-26,"94189-69575,98057-69575",umpskng@gmail.com
274,65,2272,16166,LAKE VIEW MODEL SCHOOL,NANGALCHOWK,KANGRA,177106,9th-10th,,2025-26,"94590-71749,01970-289238,
94183-75825",lakeviewnangalchowk@gmail.com
275,66,1819,16167,"GYAN JYOTI PUBLIC HIGH
SCHOOL",BHALI,KANGRA,176206,9th-10th,,2025-26,"98165-15135, 88940-73072",gyanjyotibhali@gmail.com
276,67,2028,16168,SARSWATI VIDYA MANDIR,HAGWAL,KANGRA,176201,9th-10th,,2025-26,"01893-233190, 98579-
04144,98886-36325",svm.hagwal@gmail.com
